timestamp,event_type,object_class,object_id,description,duration,confidence
2025-10-11 11:17:03,appeared,bus,36,bus appeared,0,0.5947298
2025-10-11 11:17:03,appeared,truck,37,truck appeared,0,0.74591494
2025-10-11 11:17:04,disappeared,car,30,Left frame,4.464266777038574,0
2025-10-11 11:17:05,disappeared,bus,32,Left frame,2.6016907691955566,0
2025-10-11 11:17:05,disappeared,bus,33,Left frame,2.6266963481903076,0
2025-10-11 11:17:06,disappeared,bus,34,Left frame,3.3528969287872314,0
2025-10-11 11:17:06,disappeared,bus,36,Left frame,3.1499733924865723,0
2025-10-11 11:17:06,appeared,car,38,car appeared,0,0.6929273
2025-10-11 11:17:06,disappeared,bus,35,Left frame,3.33187198638916,0
2025-10-11 11:17:06,disappeared,car,31,Left frame,4.828254699707031,0
2025-10-11 11:17:08,appeared,car,39,car appeared,0,0.79784304
2025-10-11 11:17:08,appeared,car,40,car appeared,0,0.508002
2025-10-11 11:17:09,disappeared,car,38,Left frame,3.1188173294067383,0
2025-10-11 11:17:10,disappeared,truck,37,Left frame,6.593382120132446,0
2025-10-11 11:17:10,appeared,car,41,car appeared,0,0.5205874
2025-10-11 11:17:12,disappeared,car,40,Left frame,4.36064076423645,0
2025-10-11 11:17:13,appeared,car,42,car appeared,0,0.5754372
2025-10-11 11:17:15,line_crossed,car,41,Entered (crossed line),0,0.5205874
2025-10-11 11:17:16,appeared,car,43,car appeared,0,0.650269
2025-10-11 11:17:17,disappeared,car,42,Left frame,4.089000701904297,0
2025-10-11 11:17:17,appeared,car,44,car appeared,0,0.5004833
2025-10-11 11:17:19,disappeared,car,41,Left frame,9.326109409332275,0
2025-10-11 11:17:20,appeared,car,45,car appeared,0,0.67355436
2025-10-11 11:17:20,appeared,car,46,car appeared,0,0.5667111
2025-10-11 11:17:22,disappeared,car,43,Left frame,6.368054389953613,0
2025-10-11 11:17:22,disappeared,car,44,Left frame,4.709680795669556,0
2025-10-11 11:17:22,disappeared,car,46,Left frame,2.0547163486480713,0
2025-10-11 11:17:22,appeared,car,47,car appeared,0,0.5678792
2025-10-11 11:17:24,appeared,car,48,car appeared,0,0.7898374
2025-10-11 11:17:25,disappeared,car,39,Left frame,17.7863609790802,0
2025-10-11 11:17:26,disappeared,car,47,Left frame,3.8769595623016357,0
2025-10-11 11:17:27,disappeared,car,45,Left frame,6.993619203567505,0
2025-10-11 11:17:28,appeared,car,49,car appeared,0,0.69384897
2025-10-11 11:17:28,appeared,car,50,car appeared,0,0.65794003
2025-10-11 11:17:29,appeared,car,51,car appeared,0,0.5919382
2025-10-11 11:17:30,disappeared,car,48,Left frame,5.768838405609131,0
2025-10-11 11:17:30,disappeared,car,50,Left frame,1.8530938625335693,0
2025-10-11 11:17:30,disappeared,car,51,Left frame,1.8507025241851807,0
2025-10-11 11:17:33,appeared,car,52,car appeared,0,0.7310827
2025-10-11 11:17:33,appeared,car,53,car appeared,0,0.50603086
2025-10-11 11:17:33,line_crossed,car,49,Entered (crossed line),0,0.69384897
